NFR,percentile_80_target,percentile_95_target
Perf_1,1.6,2
Perf_2,2.4,3
Perf_3,1.6,2
Perf_4,2.4,3
Perf_5,24,30
Perf_6,24,30
Perf_7,2.4,3
Perf_7a,4,5
Perf_7b,4.8,6
Perf_8,1.6,2
Perf_8a,2.4,3
Perf_8b,3.2,4
Perf_11,2.1,3.6
Perf_32,0.5d,0.6d
Perf_33,0.8d,1.0d
Perf_34,0.35d,0.45d
Perf_35,2e,2.5e
Mailboxes,60,90


transaction,NFR
EosFO_ClaimTabs_100_ClickIndicators_medium,Perf_1
EosFO_ClaimTabs_100_ClickIndicators_simple,Perf_1
EosFO_ClaimTabs_110_ClickNotes_complex,Perf_1
EosFO_ClaimTabs_110_ClickNotes_medium,Perf_1
EosFO_ClaimTabs_110_ClickNotes_simple,Perf_1
EosFO_ClaimTabs_120_ClickCaseAlias_complex,Perf_1
EosFO_ClaimTabs_120_ClickCaseAlias_medium,Perf_1
EosFO_ClaimTabs_120_ClickCaseAlias_simple,Perf_1
EosFO_ClaimTabs_130_ClickValidations_complex,Perf_1
EosFO_ClaimTabs_130_ClickValidations_medium,Perf_1
EosFO_ClaimTabs_130_ClickValidations_simple,Perf_1
EosFO_ClaimTabs_140_ClickActions_complex,Perf_1
EosFO_ClaimTabs_140_ClickActions_medium,Perf_1
EosFO_ClaimTabs_140_ClickActions_simple,Perf_1
EosFO_ClaimTabs_150_ClickContacts_complex,Perf_1
EosFO_ClaimTabs_150_ClickContacts_medium,Perf_1
EosFO_ClaimTabs_150_ClickContacts_simple,Perf_1
EosFO_ClaimTabs_160_ClickPrompts_complex,Perf_1
EosFO_ClaimTabs_160_ClickPrompts_medium,Perf_1
EosFO_ClaimTabs_160_ClickPrompts_simple,Perf_1
EosFO_ClaimTabs_170_ClickAccidentalDeath_complex,Perf_1
EosFO_ClaimTabs_170_ClickAccidentalDeath_medium,Perf_1
EosFO_ClaimTabs_170_ClickAccidentalDeath_simple,Perf_1
EosFO_ClaimTabs_180_ClickManaging_complex,Perf_1
EosFO_ClaimTabs_180_ClickManaging_medium,Perf_1
EosFO_ClaimTabs_180_ClickManaging_simple,Perf_1
EosFO_Common_000_SignOn_01_LandingPage,Perf_1
EosFO_Common_000_SignOn_02_EnterEmail,Perf_1
EosFO_Common_000_SignOn_03_EnterPassword,Perf_1
EosFO_Common_000_SignOn_04_StaySignedInOption,Perf_1
EosFO_Common_010_ClickOpenClaim,Perf_1
EosFO_Common_020_SearchClaimNumber,Perf_7
EosFO_Common_020_SearchClaimNumber_complex,Perf_7
EosFO_Common_020_SearchClaimNumber_medium,Perf_7
EosFO_Common_020_SearchClaimNumber_simple,Perf_7
EosFO_Common_030_SearchClaim_SelectNonDuplicate,Perf_7
EosFO_Common_030_SearchClaim_SelectNonDuplicate_complex,Perf_7
EosFO_Common_030_SearchClaim_SelectNonDuplicate_medium,Perf_7
EosFO_Common_030_SearchClaim_SelectNonDuplicate_simple,Perf_7
EosFO_Common_400_AddCSS,Perf_4
EosFO_Common_500_OpenWeeklyCompensationSubcase,Perf_7
EosFO_Common_900_GoHome,Perf_1
EosFO_Common_999_Heartbeat_01_Beat,Perf_1
EosFO_ContractSearch_030_ClickSurgeryQE,Perf_1
EosFO_ContractSearch_040_ClickVendors,Perf_1
EosFO_CP2B_CSSLS_020_ClickAddDocumentSelfManagementContract,Perf_3
EosFO_CP2B_CSSLS_030_SelectTypeContract,Perf_1
EosFO_CP2B_CSSRE_020_ClickEntitlementTab,Perf_1
EosFO_CP2B_CSSRE_030_ClickMaintainRoles,Perf_3
EosFO_CP2B_CSSRE_040_ClickEdit,Perf_3
EosFO_CP2B_CSSRE_050_ClickAddTaxCode,Perf_3
